
异常时间：2018-12-19 11:16:58,289 异常级别：ERROR异常内容：執行錯誤

异常时间：2018-12-19 11:32:59,948 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545190379，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 11:32:59

异常时间：2018-12-19 11:36:52,133 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545190611，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 11:36:52

异常时间：2018-12-19 11:38:53,558 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545190733，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 11:38:53

异常时间：2018-12-19 11:38:53,755 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 11:38:53,755 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545190733时间：2018/12/19 11:38:53

异常时间：2018-12-19 11:38:54,000 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 11:38:54,000 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545190733时间：2018/12/19 11:38:54

异常时间：2018-12-19 13:23:43,711 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:23:43,734 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:23:43,752 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197022&p=1时间：2018/12/19 13:23:43

异常时间：2018-12-19 13:23:43,752 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545197022&p=3时间：2018/12/19 13:23:43

异常时间：2018-12-19 13:23:43,781 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-19 13:23:43,809 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545197022&p=1，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/19 13:23:43

