
异常时间：2018-12-26 08:00:02,996 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545782401，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 8:00:02

异常时间：2018-12-26 08:00:03,082 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:03,082 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545782401时间：2018/12/26 8:00:03

异常时间：2018-12-26 08:00:03,147 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:03,147 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545782401时间：2018/12/26 8:00:03

异常时间：2018-12-26 08:00:03,194 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:03,194 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545782401时间：2018/12/26 8:00:03

异常时间：2018-12-26 08:00:03,218 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545782401，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 8:00:03

异常时间：2018-12-26 08:00:03,512 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545782401，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 8:00:03

异常时间：2018-12-26 08:00:03,967 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:03,967 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545782401时间：2018/12/26 8:00:03

异常时间：2018-12-26 08:00:03,968 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:03,968 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545782401时间：2018/12/26 8:00:03

异常时间：2018-12-26 08:00:04,540 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:04,540 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545782401时间：2018/12/26 8:00:04

异常时间：2018-12-26 08:00:04,738 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545782401，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 8:00:04

异常时间：2018-12-26 08:00:04,739 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:04,739 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545782401时间：2018/12/26 8:00:04

异常时间：2018-12-26 08:00:05,002 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:05,003 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545782401时间：2018/12/26 8:00:05

异常时间：2018-12-26 08:00:05,253 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:05,253 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545782401时间：2018/12/26 8:00:05

异常时间：2018-12-26 08:00:05,446 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545782401，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 8:00:05

异常时间：2018-12-26 08:00:05,500 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:05,500 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545782401时间：2018/12/26 8:00:05

异常时间：2018-12-26 08:00:05,548 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:05,548 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545782401时间：2018/12/26 8:00:05

异常时间：2018-12-26 08:00:05,741 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545782401，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 8:00:05

异常时间：2018-12-26 08:00:06,045 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545782401，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 8:00:06

异常时间：2018-12-26 08:00:06,164 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:06,164 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545782401时间：2018/12/26 8:00:06

异常时间：2018-12-26 08:00:06,395 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:06,395 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545782401时间：2018/12/26 8:00:06

异常时间：2018-12-26 08:00:06,586 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:06,586 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545782401时间：2018/12/26 8:00:06

异常时间：2018-12-26 08:00:06,592 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545782401，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 8:00:06

异常时间：2018-12-26 08:00:06,870 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545782401，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 8:00:06

异常时间：2018-12-26 08:00:06,892 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:06,892 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545782401时间：2018/12/26 8:00:06

异常时间：2018-12-26 08:00:07,111 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545782401，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 8:00:07

异常时间：2018-12-26 08:00:07,196 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:07,196 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545782401时间：2018/12/26 8:00:07

异常时间：2018-12-26 08:00:07,442 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 08:00:07,442 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545782401时间：2018/12/26 8:00:07

异常时间：2018-12-26 10:01:19,083 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:19

异常时间：2018-12-26 10:01:19,185 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:19

异常时间：2018-12-26 10:01:19,481 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:19,481 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545789677时间：2018/12/26 10:01:19

异常时间：2018-12-26 10:01:19,519 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:19,520 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545789677时间：2018/12/26 10:01:19

异常时间：2018-12-26 10:01:19,643 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:19,643 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545789677时间：2018/12/26 10:01:19

异常时间：2018-12-26 10:01:19,644 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:19,644 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545789677时间：2018/12/26 10:01:19

异常时间：2018-12-26 10:01:19,672 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:19

异常时间：2018-12-26 10:01:19,965 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:19,965 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545789677时间：2018/12/26 10:01:19

异常时间：2018-12-26 10:01:19,979 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:19

异常时间：2018-12-26 10:01:20,110 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:20

异常时间：2018-12-26 10:01:20,406 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:20

异常时间：2018-12-26 10:01:21,199 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:21

异常时间：2018-12-26 10:01:21,374 异常级别：ERROR异常内容：===============================================

