
异常时间：2019-01-14 10:04:47,849 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:47

异常时间：2019-01-14 10:04:48,318 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:48

异常时间：2019-01-14 10:04:48,515 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:48

异常时间：2019-01-14 10:04:49,128 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:49

异常时间：2019-01-14 10:04:49,232 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:04:49

异常时间：2019-01-14 10:04:49,233 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:04:49

异常时间：2019-01-14 10:04:49,236 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:04:49

异常时间：2019-01-14 10:04:49,237 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:04:49

异常时间：2019-01-14 10:04:49,379 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:49

异常时间：2019-01-14 10:04:49,565 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:04:49

异常时间：2019-01-14 10:04:49,797 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:04:49

异常时间：2019-01-14 10:04:50,002 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:50

异常时间：2019-01-14 10:04:50,040 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:04:50

异常时间：2019-01-14 10:04:50,262 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:50,262 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486时间：2019/1/14 10:04:50

异常时间：2019-01-14 10:04:50,556 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:50,556 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486时间：2019/1/14 10:04:50

异常时间：2019-01-14 10:04:50,754 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:50

异常时间：2019-01-14 10:04:50,822 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:04:50

异常时间：2019-01-14 10:04:50,885 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:50,885 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486时间：2019/1/14 10:04:50

异常时间：2019-01-14 10:04:51,009 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:51,009 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486时间：2019/1/14 10:04:51

异常时间：2019-01-14 10:04:51,249 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:51

异常时间：2019-01-14 10:04:51,260 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:51,261 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486时间：2019/1/14 10:04:51

异常时间：2019-01-14 10:04:51,472 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:51,472 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486时间：2019/1/14 10:04:51

异常时间：2019-01-14 10:04:51,580 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:51,580 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486时间：2019/1/14 10:04:51

异常时间：2019-01-14 10:04:51,740 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:51

异常时间：2019-01-14 10:04:51,740 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:51,740 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1547431486时间：2019/1/14 10:04:51

异常时间：2019-01-14 10:04:51,955 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:51

异常时间：2019-01-14 10:04:52,214 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:52

异常时间：2019-01-14 10:04:52,284 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:52

